Location,Category,Raw_Complaint_Text,Translated_Text_EN
Mattuthavani,Water Supply,Drainage completely blocked near Mattuthavani main road signal and dirty water is flowing fully on the street.,Drainage completely blocked near Mattuthavani main road signal and dirty water is flowing fully on the street.
K.Pudur,Electricity,Street lights in our street have not been working continuously for 4 days and it is scary to ride a cycle at night.,Street lights in our street have not been working continuously for 4 days and it is scary to ride a cycle at night.
Goripalayam,Roads,There are big potholes blocks in the heavy traffic corridors of Goripalayam junction and vehicles are crashing due to rainwater overflow.,There are big potholes blocks in the heavy traffic corridors of Goripalayam junction and vehicles are crashing due to rainwater overflow.
Anna Nagar,Sanitation,Garbage heaps are piled up like a dump yard on the bypass path close to the Anna Nagar government school.,Garbage heaps are piled up like a dump yard on the bypass path close to the Anna Nagar government school.
Periyar,Sanitation,Plastic wastes are stacked and piled up fully in front of the Periyar bus stand complex without being cleaned.,Plastic wastes are stacked and piled up fully in front of the Periyar bus stand complex without being cleaned.
Annanagar,Electricity,Sparks are visible in the line of the Anna Nagar main junction transformation station which poses heavy risk elements.,Sparks are visible in the line of the Anna Nagar main junction transformation station which poses heavy risk elements.
Teppakulam,Water Supply,There is a structural leak in the Teppakulam Vandiyur canal control sluice gate and water is continuously wasting and flooding the cross roads.,There is a structural leak in the Teppakulam Vandiyur canal control sluice gate and water is continuously wasting and flooding the cross roads.
Simmakkal,Roads,Pavement encroachments and platform pits are big in the internal corridors of Simmakkal market collapsing morning load vehicles traffic.,Pavement encroachments and platform pits are big in the internal corridors of Simmakkal market collapsing morning load vehicles traffic.
Aarapalayam,Sanitation,There are no clear cleaning systems at the backside of the Aarapalayam bus terminal causing food waste stinking smell and heavy public health issues.,There are no clear cleaning systems at the backside of the Aarapalayam bus terminal causing food waste stinking smell and heavy public health issues.
Kalavasal,Electricity,Overhead cables are down near the ceiling in Kalavasal bypass lane and the low level hanging posture of the high risk transformers line layout is unsafe.,Overhead cables are down near the ceiling in Kalavasal bypass lane and the low level hanging posture of the high risk transformers line layout is unsafe.
Mahaboobpalayam,Water Supply,Sewage line is mixed in the residential pipelines of Mahaboobpalayam main street and dirty muddy water flows into incoming taps posing a severe health danger.,Sewage line is mixed in the residential pipelines of Mahaboobpalayam main street and dirty muddy water flows into incoming taps posing a severe health danger.
Sellur,Roads,The narrow path potholes muddy clay and rainwater logging at the Sellur railway subway underpass gate have completely blocked and stalled vehicle movement.,The narrow path potholes muddy clay and rainwater logging at the Sellur railway subway underpass gate have completely blocked and stalled vehicle movement.
Tallakulam,Sanitation,Trash bins overflow and clearance is delayed at the Tallakulam post office circle corner with animal heaps scattering wastes on main corridors.,Trash bins overflow and clearance is delayed at the Tallakulam post office circle corner with animal heaps scattering wastes on main corridors.
Thirunagar,Electricity,High voltage fluctuation is continuously happening in the residential sector of Thirunagar 3rd stop posing home appliances grid burning out risks.,High voltage fluctuation is continuously happening in the residential sector of Thirunagar 3rd stop posing home appliances grid burning out risks.
Nelpettai,Sanitation,Butchery dumping units on the Nelpettai market side are throwing waste materials on center dividers spreading toxic vectors and a bad odor.,Butchery dumping units on the Nelpettai market side are throwing waste materials on center dividers spreading toxic vectors and a bad odor.
Therkuvasal,Roads,The cross road path at Therkuvasal junction is broken with deep craters causing broken vehicle axle balance and multiple minor accidents daily.,The cross road path at Therkuvasal junction is broken with deep craters causing broken vehicle axle balance and multiple minor accidents daily.
Palanganatham,Water Supply,Drinking water supply pipeline pressure is zero at the Palanganatham housing board and water delivery has completely stopped for 5 days.,Drinking water supply pipeline pressure is zero at the Palanganatham housing board and water delivery has completely stopped for 5 days.
Chinthamani,Sanitation,Illegal industrial chemical sludge dumping is happening in open fields at the Chinthamani ring road entry point bypass area causing a bad smell.,Illegal industrial chemical sludge dumping is happening in open fields at the Chinthamani ring road entry point bypass area causing a bad smell.
Villapuram,Electricity,Open distribution box doors are broken and fuse wires are uncovered in the Villapuram colony area which is a fatal hazard due to children playground proximity.,Open distribution box doors are broken and fuse wires are uncovered in the Villapuram colony area which is a fatal hazard due to children playground proximity.
